token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
9689,679GS203425SEP103PE,679GS2034,25SEP2025,1030000000.000000,1,OPTIRC,CDS,25000.000000
9694,679GS203425SEP103.75CE,679GS2034,25SEP2025,1037500000.000000,1,OPTIRC,CDS,25000.000000
9698,USDJPY25DEC144CE,USDJPY,29DEC2025,1440000000.000000,1,OPTCUR,CDS,100000.000000
9704,EURUSD25JUL1.05CE,EURUSD,29JUL2025,10500000.000000,1,OPTCUR,CDS,1000.000000
9706,EURINR2582999.75PE,EURINR,29AUG2025,997500000.000000,1,OPTCUR,CDS,25000.000000
9743,EURINR25829100.5CE,EURINR,29AUG2025,1005000000.000000,1,OPTCUR,CDS,25000.000000
9760,EURINR25829100.75CE,EURINR,29AUG2025,1007500000.000000,1,OPTCUR,CDS,25000.000000
9783,JPYINR2590454.75PE,JPYINR,04SEP2025,547500000.000000,1,OPTCUR,CDS,25000.000000
9888,741GS203625AUG105.25PE,741GS2036,28AUG2025,1052500000.000000,1,OPTIRC,CDS,25000.000000
9906,741GS203625AUG105.75PE,741GS2036,28AUG2025,1057500000.000000,1,OPTIRC,CDS,25000.000000
9921,EURINR25829102.25PE,EURINR,29AUG2025,1022500000.000000,1,OPTCUR,CDS,25000.000000
9941,EURINR25AUG99.75PE,EURINR,26AUG2025,997500000.000000,1,OPTCUR,CDS,25000.000000
1,USDINR,USDINR,,-1.000000,1,UNDCUR,CDS,25000.000000
1006,EURINR25801102PE,EURINR,01AUG2025,1020000000.000000,1,OPTCUR,CDS,25000.000000
1008,ONMIBOR26JUNFUT,ONMIBOR,30JUN2026,-1.000000,1,FUTIRC,CDS,25000.000000
10101,741GS203625AUG106.25PE,741GS2036,28AUG2025,1062500000.000000,1,OPTIRC,CDS,25000.000000
1011,ONMIBOR25JULFUT,ONMIBOR,31JUL2025,-1.000000,1,FUTIRC,CDS,25000.000000
10134,JPYINR2590459PE,JPYINR,04SEP2025,590000000.000000,1,OPTCUR,CDS,25000.000000
10154,JPYINR2590461.5PE,JPYINR,04SEP2025,615000000.000000,1,OPTCUR,CDS,25000.000000
10155,JPYINR2590461.75CE,JPYINR,04SEP2025,617500000.000000,1,OPTCUR,CDS,25000.000000
10217,USDINR2580187.375CE,USDINR,01AUG2025,873750000.000000,1,OPTCUR,CDS,25000.000000
10241,679GS203426MAR99.25CE,679GS2034,26MAR2026,992500000.000000,1,OPTIRC,CDS,25000.000000
10242,679GS203426MAR99.25PE,679GS2034,26MAR2026,992500000.000000,1,OPTIRC,CDS,25000.000000
10260,679GS203426MAR101.5PE,679GS2034,26MAR2026,1015000000.000000,1,OPTIRC,CDS,25000.000000
10271,679GS203426MAR103CE,679GS2034,26MAR2026,1030000000.000000,1,OPTIRC,CDS,25000.000000
10275,679GS203426MAR103.25CE,679GS2034,26MAR2026,1032500000.000000,1,OPTIRC,CDS,25000.000000
10288,679GS203426MAR104.25CE,679GS2034,26MAR2026,1042500000.000000,1,OPTIRC,CDS,25000.000000
10298,679GS203426MAR105CE,679GS2034,26MAR2026,1050000000.000000,1,OPTIRC,CDS,25000.000000
10306,EURINR25AUG103PE,EURINR,26AUG2025,1030000000.000000,1,OPTCUR,CDS,25000.000000
10315,USDINR25SEP91CE,USDINR,26SEP2025,910000000.000000,1,OPTCUR,CDS,25000.000000
10321,GBPINR25829114.5CE,GBPINR,29AUG2025,1145000000.000000,1,OPTCUR,CDS,25000.000000
10333,710GS203426MAR101CE,710GS2034,26MAR2026,1010000000.000000,1,OPTIRC,CDS,25000.000000
10340,710GS203426MAR101.75PE,710GS2034,26MAR2026,1017500000.000000,1,OPTIRC,CDS,25000.000000
10357,710GS203426MAR104CE,710GS2034,26MAR2026,1040000000.000000,1,OPTIRC,CDS,25000.000000
10376,JPYINR26MAR58.75PE,JPYINR,27MAR2026,587500000.000000,1,OPTCUR,CDS,25000.000000
10433,718GS203325JULFUT,718GS2033,31JUL2025,-1.000000,1,FUTIRC,CDS,25000.000000
10435,723GS203925JULFUT,723GS2039,31JUL2025,-1.000000,1,FUTIRC,CDS,25000.000000
10436,741GS203625JULFUT,741GS2036,31JUL2025,-1.000000,1,FUTIRC,CDS,25000.000000
10490,JPYINR25SEP57CE,JPYINR,26SEP2025,570000000.000000,1,OPTCUR,CDS,25000.000000
10492,JPYINR25SEP57.25CE,JPYINR,26SEP2025,572500000.000000,1,OPTCUR,CDS,25000.000000
10496,JPYINR25SEP57.75CE,JPYINR,26SEP2025,577500000.000000,1,OPTCUR,CDS,25000.000000
10509,USDJPY25DEC141PE,USDJPY,29DEC2025,1410000000.000000,1,OPTCUR,CDS,100000.000000
1053,GBPINR25DEC113.75PE,GBPINR,29DEC2025,1137500000.000000,1,OPTCUR,CDS,25000.000000
10518,710GS203426MAR105.75CE,710GS2034,26MAR2026,1057500000.000000,1,OPTIRC,CDS,25000.000000
10533,JPYINR2572554.5PE,JPYINR,25JUL2025,545000000.000000,1,OPTCUR,CDS,25000.000000
10537,JPYINR2572555PE,JPYINR,25JUL2025,550000000.000000,1,OPTCUR,CDS,25000.000000
