token,symbol
1250,CASTROLIND-EQ
2475,ONGC-EQ
24823,MANCREDIT-EQ
12841,11NSETEST-EQ
24870,INVENTURE-EQ
13072,IIFLCAPS-EQ
13082,SILVER1-EQ
13111,ORIENTCER-EQ
13126,REPRO-EQ
25017,BODALCHEM-EQ
13143,GSEC10IETF-EQ
2514,OSWALAGRO-EQ
25171,TOP10ADD-EQ
13400,BHAGERIA-EQ
13430,KELLTONTEC-EQ
25340,VASWANI-EQ
13501,ALLCARGO-EQ
13528,GMRAIRPORT-EQ
1363,HINDALCO-EQ
13648,TALBROAUTO-EQ
1372,HINDCOMPOS-EQ
25468,PAISALO-EQ
13735,GLOBALVECT-EQ
13821,RUCHIRA-EQ
25756,VIKASECO-EQ
14101,PTL-EQ
14150,BTML-EQ
25807,LLOYDSENT-EQ
14180,NSLNISP-EQ
14233,HDFCSML250-EQ
14319,TFL-EQ
25984,AVL-EQ
2610,PEARLPOLY-EQ
2614,HERANBA-EQ
2627,IT-EQ
14450,EMBDL-EQ
14459,LEXUS-EQ
1455,BIRLANU-EQ
2643,PFIZER-EQ
14501,BALAMINES-EQ
14535,GOLDSHARE-EQ
27037,TBZ-EQ
27047,MASTERTR-EQ
27075,LIQUIDPLUS-EQ
27079,KPEL-EQ
14772,101NSETEST-EQ
27171,RACLGEAR-EQ
14912,KPRMILL-EQ
14942,NAGREEKCAP-EQ
15032,PSUBNKBEES-EQ
15039,CERA-EQ
15067,BLAL-EQ
15129,RGL-EQ
1507,MOGSEC-EQ
15161,HITECHCORP-EQ
15204,ARIES-EQ
15234,AMBIKCO-EQ
15266,JKIL-EQ
15342,SHALPAINTS-EQ
157,APOLLOHOSP-EQ
1570,GMMPFAUDLR-EQ
15399,EIHAHOTELS-EQ
16045,PRINCEPIPE-EQ
28662,DAMCAPITAL-EQ
166,ANDHRAPAP-EQ
1660,ITC-EQ
28899,KITEX-EQ
16657,ANIKINDS-EQ
16682,PTCIL-EQ
16719,ALMONDZ-EQ
16819,QNIFTY-EQ
29124,PCJEWELLER-EQ
29251,ITCHOTELS-EQ
17181,NEXT50-EQ
17313,LLOYDSME-EQ
17547,AMRUTANJAN-EQ
29553,NIFTYIETF-EQ
17691,VIJIFIN-EQ
17758,SARDAEN-EQ
17764,REFEX-EQ
1797,AWHCL-EQ
2970,SURYODAY-EQ
17927,BAYERCROP-EQ
17999,UNITEDTEA-EQ
29758,MSCIINDIA-EQ
18118,THANGAMAYL-EQ
18119,SRGHFL-EQ
18220,KECL-EQ
1826,KAMATHOTEL-EQ
3010,AXISTECETF-EQ
30125,SAMMAANCAP-EQ
18417,RISHABH-EQ
