symbol,token
CENTRALBK-EQ,14894
MOGSEC-EQ,1507
GSEC10YEAR-EQ,14938
BAJAJELEC-EQ,15034
RHL-EQ,15157
ECLERX-EQ,15179
PATINTLOG-EQ,15219
BIRLAMONEY-EQ,15239
KNRCON-EQ,15283
VGUARD-EQ,15362
APCOTEXIND-EQ,154
EIHAHOTELS-EQ,15399
APOLLOHOSP-EQ,157
AVG-EQ,15589
INFY-EQ,1594
PRINCEPIPE-EQ,16045
KIRIINDUS-EQ,16639
JOCIL-EQ,16927
SHARIABEES-EQ,17044
SUMICHEM-EQ,17105
PARAGMILK-EQ,17130
ORIENTPPR-EQ,2496
CYIENTDLM-EQ,17187
EXCEL-EQ,17376
SETF10GILT-EQ,17395
CONTROLPR-EQ,17477
DAMODARIND-EQ,17541
PVTBANKADD-EQ,17576
POKARNA-EQ,17651
GPTINFRA-EQ,17685
KROSS-EQ,25252
ARKADE-EQ,25398
GROWWLIQID-EQ,25447
DBEIL-EQ,25892
VSSL-EQ,27067
BUTTERFLY-EQ,2716
AUROPHARMA-EQ,275
CHEMFAB-EQ,2799
LTGILTBEES-EQ,17700
IKS-EQ,28125
DAMCAPITAL-EQ,28662
KAKATCEM-EQ,1811
KPIL-EQ,1814
ORIENTLTD-EQ,18208
SENORES-EQ,28888
KAMATHOTEL-EQ,1826
TEXMOPIPES-EQ,18214
VPRPL-EQ,18341
KANORICHEM-EQ,1835
RISHABH-EQ,18417
ZUARI-EQ,29050
ICICIPRULI-EQ,18652
DENTA-EQ,29256
IRMENERGY-EQ,19597
ALPHAETF-EQ,19640
BLUEJET-EQ,19686
QPOWER-EQ,29711
ADFFOODS-EQ,19761
AMNPLST-EQ,19867
LICHSGFIN-EQ,1997
MOCAPITAL-EQ,30065
CASHIETF-EQ,30139
ASKAUTOLTD-EQ,20152
ARIHANTSUP-EQ,20159
ASHOKA-EQ,20182
CGCL-EQ,20329
COALINDIA-EQ,20374
INDOSTAR-EQ,3088
TIINDIA-EQ,312
GILT5YBEES-EQ,3172
MODISONLTD-EQ,3316
SUNDARMFIN-EQ,3339
SUNPHARMA-EQ,3351
SWARAJENG-EQ,3384
BANARBEADS-EQ,347
CLSEL-EQ,3482
TTKPRESTIG-EQ,3546
ADANIGREEN-EQ,3563
MOKSH-EQ,3586
JUBLPHARMA-EQ,3637
VARDMNPOLY-EQ,3646
WILLAMAGOR-EQ,3772
WIPRO-EQ,3787
WSTCSTPAPR-EQ,3799
PREMIERPOL-EQ,3908
PARASPETRO-EQ,3972
PVP-EQ,4010
SAMBHAAV-EQ,4127
WENDT-EQ,4235
SHRIRAMFIN-EQ,4306
MIRZAINT-EQ,4394
INDIANCARD-EQ,4422
DYNAMATECH-EQ,4525
BIRLACORPN-EQ,480
FDC-EQ,4898
GANGAFORGE-EQ,4957
ICICIBANK-EQ,4963
PHARMABEES-EQ,4973
APTUS-EQ,5435
CUB-EQ,5701
CANFINHOME-EQ,583
BANKNIFTY1-EQ,5851
APOLSINHOT-EQ,6302
NYKAA-EQ,6545
SONATSOFTW-EQ,6596
SJS-EQ,6643
PAYTM-EQ,6705
SBC-EQ,6792
RPPL-EQ,6913
RAMASTEEL-EQ,10300
SHRADHA-EQ,708
ASIANENE-EQ,7030
STEELCITY-EQ,10406
SBIETFPB-EQ,722
UDAICEMENT-EQ,7276
DATAPATTNS-EQ,7358
GLENMARK-EQ,7406
MOMENTUM-EQ,10693
SURANAT&P-EQ,10700
INFRAIETF-EQ,10723
MOVALUE-EQ,10825
GVPTECH-EQ,10865
SATIA-EQ,11045
TINNARUBR-EQ,756020
